City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,atuona,-9.8,-139.0333,25.48,75,55,7.57,PF,1669838235
1,hobart,-42.8794,147.3294,11.81,73,75,0.0,AU,1669838440
2,ikom,5.9667,8.7063,25.82,55,80,1.41,NG,1669838226
3,saskylakh,71.9167,114.0833,-34.54,100,100,3.13,RU,1669838296
4,aqtobe,50.2797,57.2072,-11.95,72,0,1.0,KZ,1669838226
5,tasiilaq,65.6145,-37.6368,1.68,96,100,9.68,GL,1669838316
6,chuy,-33.6971,-53.4616,24.18,72,15,7.62,UY,1669838441
7,albany,42.6001,-73.9662,11.64,91,100,2.68,US,1669838286
8,hilo,19.7297,-155.09,28.49,92,29,1.34,US,1669838181
9,barrow,71.2906,-156.7887,-1.99,93,100,7.2,US,1669838441
10,ushuaia,-54.8,-68.3,11.81,50,75,12.35,AR,1669838229
11,jamestown,42.097,-79.2353,1.68,64,99,13.41,US,1669838251
12,south venice,27.0531,-82.4243,29.04,83,0,2.06,US,1669838229
13,maraa,-1.8333,-65.3667,30.25,66,100,0.45,BR,1669838230
14,saint-joseph,-21.3667,55.6167,23.21,78,66,3.14,RE,1669838230
15,kargasok,59.0556,80.8572,-30.27,100,16,0.81,RU,1669838231
16,prince rupert,54.3161,-130.3201,-4.17,43,0,13.38,CA,1669838231
17,codrington,-38.2667,141.9667,13.15,92,76,1.08,AU,1669838324
18,sinnamary,5.3833,-52.95,25.89,84,78,4.77,GF,1669838232
19,vokhtoga,58.8147,41.0461,-12.79,97,61,1.33,RU,1669838232
20,kieta,-6.2167,155.6333,26.15,85,99,2.34,PG,1669838233
21,ribeira grande,38.5167,-28.7,17.22,67,75,2.57,PT,1669838568
22,punta arenas,-53.15,-70.9167,13.01,50,75,13.89,CL,1669838199
23,krasnoarmeysk,51.0239,45.6969,-6.34,79,3,2.47,RU,1669838233
24,harper,4.375,-7.7169,26.2,81,75,2.11,LR,1669838569
25,mataura,-46.1927,168.8643,10.27,59,86,2.19,NZ,1669838295
26,nikolskoye,59.7035,30.7861,-4.06,86,100,1.71,RU,1669838388
27,bam,29.106,58.357,15.02,32,100,0.19,IR,1669838569
28,saint-philippe,-21.3585,55.7679,23.77,78,37,4.29,RE,1669838444
29,port lincoln,-34.7333,135.8667,14.02,80,11,5.71,AU,1669838396
30,samarai,-10.6167,150.6667,27.5,78,100,3.09,PG,1669838570
31,bluff,-46.6,168.3333,10.45,78,96,6.84,NZ,1669838444
32,ancud,-41.8697,-73.8203,13.27,54,11,3.27,CL,1669838570
33,martapura,-3.4167,114.85,24.05,94,100,2.57,ID,1669838571
34,west wendover,40.7391,-114.0733,-0.48,52,56,1.06,US,1669838237
35,mount gambier,-37.8333,140.7667,11.44,96,57,1.77,AU,1669838445
36,kapaa,22.0752,-159.319,27.83,82,99,0.89,US,1669838233
37,camden,39.7835,-74.9663,14.4,91,100,2.24,US,1669838239
38,katsuura,35.1333,140.3,12.94,84,100,8.34,JP,1669838446
39,vaini,-21.2,-175.2,26.19,78,30,4.98,TO,1669838446
40,palmer,42.1584,-72.3287,13.23,80,100,3.13,US,1669838241
41,beloha,-25.1667,45.05,21.19,91,100,4.38,MG,1669838572
42,tecoanapa,16.5167,-98.75,28.35,66,66,4.4,MX,1669838447
43,puhja,58.3419,26.3147,-2.98,95,100,1.24,EE,1669838242
44,chokurdakh,70.6333,147.9167,-18.85,96,100,4.2,RU,1669838572
45,hermanus,-34.4187,19.2345,16.0,88,48,0.61,ZA,1669838447
46,cabedelo,-6.9811,-34.8339,28.37,67,96,5.02,BR,1669838242
47,qaqortoq,60.7167,-46.0333,-4.49,89,100,0.94,GL,1669838573
48,bathsheba,13.2167,-59.5167,26.73,73,2,6.8,BB,1669838448
49,saint-francois,46.4154,3.9054,5.93,87,100,2.06,FR,1669838243
50,deputatskiy,69.3,139.9,-26.08,99,100,1.36,RU,1669838445
51,kalmunai,7.4167,81.8167,25.21,84,89,0.71,LK,1669838449
52,rikitea,-23.1203,-134.9692,22.49,72,94,5.94,PF,1669838290
53,kilindoni,-7.9139,39.6668,26.59,80,22,4.63,TZ,1669838245
54,butaritari,3.0707,172.7902,27.28,77,18,5.89,KI,1669838388
55,mirabad,30.4362,61.8383,14.64,45,100,4.49,AF,1669838246
56,garowe,8.4054,48.4845,23.12,67,5,5.82,SO,1669838246
57,cherskiy,68.75,161.3,-18.62,92,100,1.53,RU,1669838338
58,bud,39.447,-86.1758,3.19,57,0,8.54,US,1669838248
59,sampit,-2.5333,112.95,23.33,98,100,1.13,ID,1669838248
60,baykit,61.67,96.37,-17.66,97,100,2.6,RU,1669838575
61,nushki,29.5542,66.0215,12.6,30,100,0.47,PK,1669838249
62,kodiak,57.79,-152.4072,-1.94,55,100,1.55,US,1669838341
63,port alfred,-33.5906,26.891,18.99,94,100,3.99,ZA,1669838230
64,labuhan,-6.8844,112.2051,24.8,86,100,4.64,ID,1669838249
65,omsukchan,62.5333,155.8,-17.38,98,100,2.93,RU,1669838576
66,sunrise manor,36.2111,-115.0731,14.02,24,52,2.24,US,1669838250
67,sioux lookout,50.1001,-91.917,-8.96,79,100,9.77,CA,1669838250
68,victoria,22.2855,114.1577,17.92,81,100,7.15,HK,1669838292
69,faanui,-16.4833,-151.75,26.62,77,17,6.0,PF,1669838576
70,clyde river,70.4692,-68.5914,-32.62,91,12,1.83,CA,1669838451
71,bambous virieux,-20.3428,57.7575,24.56,78,40,2.06,MU,1669838311
72,flinders,-34.5833,150.8552,16.77,82,100,1.79,AU,1669838251
73,lata,40.1629,-8.3327,10.6,94,100,1.87,PT,1669838251
74,shubarkuduk,49.1447,56.4872,-7.82,36,97,2.99,KZ,1669838251
75,severo-kurilsk,50.6789,156.125,-1.66,83,45,4.26,RU,1669838452
76,bredasdorp,-34.5322,20.0403,17.81,79,59,1.23,ZA,1669838453
77,ocos,14.5094,-92.1933,27.97,75,2,3.74,GT,1669838252
78,sao filipe,14.8961,-24.4956,24.57,65,68,3.72,CV,1669838363
79,araguaina,-7.1911,-48.2072,25.95,80,100,3.03,BR,1669838252
80,taltal,-25.4,-70.4833,18.99,74,33,2.92,CL,1669838439
81,gornoye loo,43.7129,39.6049,8.88,65,35,1.91,RU,1669838253
82,yerbogachen,61.2767,108.0108,-18.96,96,100,3.37,RU,1669838253
83,cordeiro,-22.0286,-42.3608,21.77,92,90,1.61,BR,1669838254
84,dikson,73.5069,80.5464,-5.54,94,100,5.02,RU,1669838353
85,constitucion,-35.3333,-72.4167,16.78,65,0,8.6,CL,1669838459
86,thompson,55.7435,-97.8558,-23.91,58,20,5.14,CA,1669838246
87,geilo,60.5333,8.2076,-5.17,85,48,2.47,NO,1669838578
88,sao joao da barra,-21.6403,-41.0511,25.05,90,100,6.33,BR,1669838254
89,fort-shevchenko,44.5086,50.263,0.28,45,100,6.5,KZ,1669838255
90,jaciara,-15.9653,-54.9683,32.24,38,62,4.02,BR,1669838255
91,longyearbyen,78.2186,15.6401,1.91,87,100,5.66,SJ,1669838490
92,san andres,12.5847,-81.7006,30.01,70,40,7.2,CO,1669838256
93,sao felix do xingu,-6.6447,-51.995,27.33,72,100,1.39,BR,1669838256
94,new norfolk,-42.7826,147.0587,11.62,55,6,1.79,AU,1669838455
95,avarua,-21.2078,-159.775,27.03,78,75,7.72,CK,1669838579
96,east london,-33.0153,27.9116,22.58,88,100,5.92,ZA,1669838435
97,ninotsminda,41.2646,43.5916,0.11,90,100,2.34,GE,1669838257
98,tiznit,29.5833,-9.5,15.1,61,87,1.0,MA,1669838580
99,karratha,-20.7377,116.8463,27.34,56,97,4.03,AU,1669838456
100,rosa zarate,0.3333,-79.4667,31.47,48,98,0.2,EC,1669838581
101,dicabisagan,17.0818,122.4157,25.94,87,100,3.17,PH,1669838257
102,ankazobe,-18.3167,47.1167,18.09,87,100,0.81,MG,1669838258
103,qaanaaq,77.484,-69.3632,-29.98,78,16,2.5,GL,1669838457
104,jacareacanga,-6.2222,-57.7528,30.64,60,100,1.26,BR,1669838258
105,pangnirtung,66.1451,-65.7125,-21.0,59,20,6.69,CA,1669838258
106,kulhudhuffushi,6.6221,73.07,27.52,67,49,1.19,MV,1669838259
107,cidreira,-30.1811,-50.2056,22.07,90,98,7.48,BR,1669838457
108,arraial do cabo,-22.9661,-42.0278,23.47,91,100,10.99,BR,1669838458
109,upernavik,72.7868,-56.1549,-13.38,89,100,7.32,GL,1669838458
110,mayor pablo lagerenza,-19.9309,-60.7718,23.97,64,100,5.13,PY,1669838259
111,vestmanna,62.1564,-7.1664,8.51,93,100,8.23,FO,1669838260
112,tura,25.5198,90.2201,16.46,87,2,1.56,IN,1669838583
113,kraskino,42.7114,130.7794,-10.09,56,98,6.84,RU,1669838260
114,busselton,-33.65,115.3333,16.67,82,99,3.98,AU,1669838459
115,esperance,-33.8667,121.9,18.24,66,28,6.64,AU,1669838460
116,henties bay,-22.116,14.2845,16.17,87,4,2.69,NA,1669838219
117,myitkyina,25.3833,97.4,17.23,68,35,1.16,MM,1669838261
